sno,workspaces,content,references
1,Workspaces,"Workspaces in FL0 are home to all your projects, services and databases. A workspace may represent an organization or a team. When you create a FL0 account, we give you a default Workspace to use.",https://docs.fl0.com/docs/platform/workspaces
2,Creating Workspaces,"You can create additional Workspaces in FL0 by following these steps: Click the arrow next to Workspace breadcrumb in the top-left corner of the interface, In the dropdown menu, click New workspace, Give the Workspace a name, Create a workspace.",https://docs.fl0.com/docs/platform/workspaces
3,TIP,"You can only belong to a single Free Workspace at a time. To add more Workspaces, you need to upgrade your existing Free workspace first.",https://docs.fl0.com/docs/platform/workspaces
4,Switching Workspaces,"To switch between Workspaces, click the arrow next to the Workspace breadcrumb in the top-left corner of the interface and select a different Workspace.",https://docs.fl0.com/docs/platform/workspaces
5,Managing a Team,"You can invite users to your workspace and control their permissions: Navigate to the Workspace settings tab, Select the Team members link on the left, Click the Invite team member button or select an existing user to edit their permissions.",https://docs.fl0.com/docs/platform/workspaces
6,Editing User Permissions,"From the Team members section, select a user to view their details. From there: Give them admin permissions, or Grant permissions to specific projects within the workspace.",https://docs.fl0.com/docs/platform/workspaces
7,Revoking an Invitation,"Once an invitation is sent it's not possible to revoke it, however invitations expire in 24 hours. If the user accepts the invitation, they will appear in the list and can be removed from the workspace.",https://docs.fl0.com/docs/platform/workspaces
8,Revoking User Access,"From the Team members section, select a user to view their details. From there, click the Remove user button.",https://docs.fl0.com/docs/platform/workspaces
9,Managing Billing,"Billing is managed at the Workspace level, and can be found by navigating to the Workspace settings page and clicking on the Plans & billing tab. To read more about upgrading, downgrading and managing payment methods, see the pricing and plans page.",https://docs.fl0.com/docs/platform/workspaces
10,Connecting a Workspace to Github,"When deploying a new app, FL0 will retrieve a list of repositories from Github and ask you which one to use. In order to do that, FL0 needs your permission to integrate with Github. Each workspace can be connected to one or more Github organizations. Navigate to the Workspace settings tab, Select the Git connections link on the left, Click the Open Github connection page button, In the popup, install the FL0 Connector into the appropriate Github organization. NOTE: Your FL0 workspace can be connected to multiple Github orgs, but a Github org can only be connected to a single FL0 workspace.",https://docs.fl0.com/docs/platform/workspaces
11,Leaving a Workspace,"If you no longer wish to be part of a Workspace you can remove yourself by navigating to the Team members section and clicking the Leave workspace button.",https://docs.fl0.com/docs/platform/workspaces
12,Renaming a Workspace,"NOTE: The ability to rename a workspace will be coming soon!",https://docs.fl0.com/docs/platform/workspaces
13,Deleting a Workspace,"DANGER: Careful! Deleting a workspace is permanent, and will delete all your apps and databases, including your Development and Production environments! Navigate to the Workspace settings tab, Select the Overview link on the left, Click the Delete workspace button in the Danger zone section.",https://docs.fl0.com/docs/platform/workspaces
